Page_Number,Sutra,Book_Name,Sanskrit,Romanised_Sanskrit,Meaning,Question,Hindi_Question,Answer,Hindi_Answer,Reference_Link
6,28-29,Haṭha Yoga Pradīpikā,"वामोरु मूलार्पित दक्ष्ह पादं
जानोर्बहिर्वेष्ह्टित वाम पादम |
परगॄह्य तिष्ह्ठेत्परिवर्तिताङ्गः
शरी मत्य्सनाथोदितमासनं सयात ||
""मत्स्येन्द्र पीठं जठर परदीप्तिं
परछण्ड रुग्मण्डल खण्डनास्त्रम |
अभ्यासतः कुण्डलिनी परबोधं
छन्द्र सथिरत्वं छ ददाति पुंसाम ||","vāmoru mūlārpita dakṣha pādaṃ
jānorbahirveṣhṭita vāma pādama |
paragṝhya tiṣhṭhetparivartitāṅgaḥ
śarī matysanāthoditamāsanaṃ sayāta ||
""matsyendra pīṭhaṃ jaṭhara paradīptiṃ
parachaṇḍa rugmaṇḍala khaṇḍanāstrama |
abhyāsataḥ kuṇḍalinī parabodhaṃ
chandra sathiratvaṃ cha dadāti puṃsāma ||",,What are the specific benefits of Matsyendrasana  or The Spinal Twist?,"
मत्स्येंद्रासन के विशिष्ट लाभ क्या हैं?","Practicing the Matsyendrasana stimulates the digestive fire , destroys terrible diseases, and awakens the dormant energy. It also steadies the moon fluid and stops aging.","
मत्स्येंद्रासन का अभ्यास पाचन अग्नि को उत्तेजित करता है, गंभीर रोगों को नष्ट करता है और सुप्त ऊर्जा को जागृत करता है। यह चंद्र द्रव को भी स्थिर करता है और वृद्धावस्था को रोकता है।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
6,30,Haṭha Yoga Pradīpikā,"परसार्य पादौ भुवि दण्ड रूपौ
दोर्भ्यां पदाग्र दवितयं गॄहीत्वा |
जानूपरिन्यस्त ललाट देशो
वसेदिदं पश्छिमतानमाहुः ||","parasārya pādau bhuvi daṇḍa rūpau
dorbhyāṃ padāgra davitayaṃ gṝhītvā |
jānūparinyasta lalāṭa deśo
vasedidaṃ paśchimatānamāhuḥ ||","Having stretched the feet on the ground, like a stick, and having grasped the toes of both the feet with both the hands, when one sits with his forehead resting on the thighs, it is called Paśchima Tâna.",How is Paschimottanasana or the Back Stretching Pose performed?,पश्चिमोत्तानासन कैसे किया जाता है?,To perform the Paschimottanasana one should stretch their legs straight on the ground like a stick and old their toes with their hands and place their forehead on their knees.,पश्चिमोत्तानासन करने के लिए व्यक्ति को अपने पैरों को जमीन पर एक छड़ी की तरह सीधा फैलाना चाहिए और अपने हाथों से अपने पैर की उंगलियों को पकड़ना चाहिए और अपने माथे को अपने घुटनों पर रखना चाहिए।,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
6,31,Haṭha Yoga Pradīpikā,"इति पश्छिमतानमासनाग्र्यं
पवनं पश्छिम वाहिनं करोति |
उदयं जठरानलस्य कुर्याद
उदरे कार्श्यमरोगतां छ पुंसाम ||","iti paśchimatānamāsanāgryaṃ
pavanaṃ paśchima vāhinaṃ karoti |
udayaṃ jaṭharānalasya kuryāda
udare kārśyamarogatāṃ cha puṃsāma ||","This Paśchima Tâna carries the air from the front to the back part of the body (i.e., to the suṣumna). It kindles gastric fire, reduces obesity and cures all diseases of men.31.

",What are the benefits of Paschimottanasana asana or the Back Stretching Pose?,पश्चिमोत्तानासन के क्या लाभ हैं?,"The benefits of Paschimottanasana is that it is the best among Asanas. It makes the breath flow through the central channel, stimulates the digestive fire, reduces obesity and cures diseases of men.","
पश्चिमोत्तानासन के लाभों में से एक यह है कि यह आसनों में सर्वश्रेष्ठ है। यह श्वास को मध्य नलिका से प्रवाहित करता है, पाचन अग्नि को उत्तेजित करता है, मोटापा कम करता है और पुरुषों के रोगों को दूर करता है।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
7,32,Haṭha Yoga Pradīpikā,"धरामवष्ह्टभ्य कर दवयेन
तत कूर्पर सथापित नाभि पार्श्वः |
उछ्छासनो दण्डवदुत्थितः खे
मायूरमेतत्प्रवदन्ति पीठम ||","dharāmavaṣhṭabhya kara davayena
tata kūrpara sathāpita nābhi pārśvaḥ |
uchchāsano daṇḍavadutthitaḥ khe
māyūrametatpravadanti pīṭhama ||","Place the palms of both the hands on the ground, and place the navel on both the elbows and balancing thus, the body should be stretched backward like a stick. This is called Mayûra âsana.",How is Mayurasana or the Peacock Pose performed?,मयूरासन कैसे किया जाता है?,To perform the Mayurasana one should place their palms on the ground and support the sides of the navel with the elbows. Then one should lift their body in the air like a horizontal stick.,मयूरासन करने के लिए हथेलियों को जमीन पर रखें और कोहनियों से नाभि के किनारों को सहारा दें। फिर शरीर को क्षैतिज छड़ी की तरह हवा में उठाएं।,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
7,33,Haṭha Yoga Pradīpikā,"हरति सकल रोगानाशु गुल्मोदरादीन
अभिभवति छ दोष्हानासनं शरी मयूरम |
बहु कदशन भुक्तं भस्म कुर्यादशेष्हं
जनयति जठराग्निं जारयेत्काल कूटम ||","harati sakala rogānāśu gulmodarādīna
abhibhavati cha doṣhānāsanaṃ śarī mayūrama |
bahu kadaśana bhuktaṃ bhasma kuryādaśeṣhaṃ
janayati jaṭharāgniṃ jārayetkāla kūṭama ||","This Âsana soon destroys all diseases, and removes abdominal disorders, and also those arising from irregularities of phlegm, bile and wind, digests unwholesome food taken in excess, increases appetite and destroys the most deadly poison.",What are the powerful benefits of Mayurasana?,मयूरासन के शक्तिशाली लाभ क्या हैं?,"The benefits of Mayurasana are that it destroys all diseases of the stomach, cures imbalances of the three humors or Doshas, and increases appetite so much that one can digest even deadly poison.","
मयूरासन के लाभ यह हैं कि यह पेट के सभी रोगों को नष्ट करता है, तीनों दोषों के असंतुलन को ठीक करता है, और भूख को इतना बढ़ा देता है कि व्यक्ति घातक जहर को भी पचा सकता है।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
7,34,Haṭha Yoga Pradīpikā,"उत्तानं शबवद्भूमौ शयनं तछ्छवासनम |
शवासनं शरान्ति हरं छित्त विश्रान्ति कारकम ||","uttānaṃ śabavadbhūmau śayanaṃ tachchavāsanama |
śavāsanaṃ śarānti haraṃ chitta viśrānti kārakama ||","Lying down on the ground, like a corpse, is called Śava âsana. It removes fatigue and gives rest to the mind.",Which yogasana helps in relieving fatigue?,कौन सा योगासन थकान दूर करने में सहायक होता है?,"Yogasana that helps in relieving fatigue is Savasana (Corpse Pose). To do this, simply lie flat on your back, keep your eyes closed, stay completely still, and breathe naturally. It is the most effective way to relax a fatigued body.","शवासन थकान दूर करने में सहायक योगासन है। इसे करने के लिए, पीठ के बल सीधे लेट जाएं, आंखें बंद रखें, बिल्कुल स्थिर रहें और स्वाभाविक रूप से सांस लें। यह थके हुए शरीर को आराम देने का सबसे कारगर तरीका है।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
7,35,Haṭha Yoga Pradīpikā,"छतुरशीत्यासनानि शिवेन कथितानि छ |
तेभ्यश्छतुष्ह्कमादाय सारभूतं बरवीम्यहम || ३५ ||","chaturaśītyāsanāni śivena kathitāni cha |
tebhyaśchatuṣhkamādāya sārabhūtaṃ bravīmyaham || 35 ||","Śiva taught 84 âsanas. Of these the first four being essential ones, I am going to explain them here.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
7,36,Haṭha Yoga Pradīpikā,"सिद्धं पद्मं तथा सिंहं भद्रं वेति छतुष्ह्टयम |
शरेष्ह्ठं तत्रापि छ सुखे तिष्ह्ठेत्सिद्धासने सदा || ३६ ||","siddhaṃ padmaṃ tathā siṃhaṃ bhadraṃ veti chatuṣhṭayam |
śreṣhṭhaṃ tatrāpi cha sukhe tiṣhṭhetsiddhāsane sadā || 36 ||","These four are:—The Siddha, Padma, Sinha and Bhadra. Even of these, the Siddha âsana, being very comfortable, one should always practise it.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
7,35-36,Haṭha Yoga Pradīpikā,"छतुरशीत्यासनानि शिवेन कथितानि छ |
तेभ्यश्छतुष्ह्कमादाय सारभूतं बरवीम्यहम || 
सिद्धं पद्मं तथा सिंहं भद्रं वेति छतुष्ह्टयम |
शरेष्ह्ठं तत्रापि छ सुखे तिष्ह्ठेत्सिद्धासने सदा ||","chaturaśītyāsanāni śivena kathitāni cha |
tebhyaśchatuṣhkamādāya sārabhūtaṃ baravīmyahama || 
siddhaṃ padmaṃ tathā siṃhaṃ bhadraṃ veti chatuṣhṭayama |
śareṣhṭhaṃ tatrāpi cha sukhe tiṣhṭhetsiddhāsane sadā ||",,Which four Asanas are considered the most essential out of the 84 taught by Shiva?,"
शिव द्वारा सिखाए गए 84 आसनों में से कौन से चार आसन सबसे आवश्यक माने जाते हैं?","The four most essential Asanas are: 
1. Siddhasana
2. Padmasana 
3. Simhasana 
4. Bhadrasana 
Among these, Siddhasana is considered the very best.","चार सबसे आवश्यक आसन हैं:
1. सिद्धासन
2. पद्मासन
3. सिंहासन
4. भद्रासन
इनमें से सिद्धासन को सर्वश्रेष्ठ माना जाता है।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
7,37,Haṭha Yoga Pradīpikā,"अथ सिद्धासनम
योनि सथानकमङ्घ्रि मूल घटितं कॄत्वा दॄढं विन्यसेत
मेण्ढ्रे पादमथैकमेव हॄदये कॄत्वा हनुं सुस्थिरम |
सथाणुः संयमितेन्द्रियो|अछल दॄशा पश्येद्भ्रुवोरन्तरं
हयेतन्मोक्ष्ह कपाट भेद जनकं सिद्धासनं परोछ्यते ||","atha siddhāsanama
yoni sathānakamaṅghri mūla ghaṭitaṃ kṝtvā dṝḍhaṃ vinyaseta
meṇḍhre pādamathaikameva hṝdaye kṝtvā hanuṃ susthirama |
sathāṇuḥ saṃyamitendriyo|achala dṝśā paśyedbhruvorantaraṃ
hayetanmokṣha kapāṭa bheda janakaṃ siddhāsanaṃ parochyate ||","Press firmly the heel of the left foot against the perineum, and the right heel above the male organ. With the chin pressing on the chest, one should sit calmly, having restrained the senses, and gaze steadily the space between the eyebrows. This is called the Siddha Âsana, the opener of the door of salvation.",How exactly is Siddhasana performed?,"
सिद्धासन किस प्रकार किया जाता है?","Press the left heel firmly against the perineum and place the right heel just above the genital organ. The chin should be pressed firmly against the chest. The senses should be controlled, and the gaze fixed steadily on the space between the eyebrows.","
बाएं पैर की एड़ी को पेरिनियम पर मजबूती से दबाएं और दाएं पैर की एड़ी को जननांग के ठीक ऊपर रखें। ठुड्डी को छाती से मजबूती से दबाकर रखें। इंद्रियों को नियंत्रित रखें और दृष्टि को भौंहों के बीच की जगह पर स्थिर रखें।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
7,38,Haṭha Yoga Pradīpikā,"मेण्ढ्रादुपरि विन्यस्य सव्यं गुल्फं तथोपरि |
गुल्फान्तरं छ निक्ष्हिप्य सिद्धासनमिदं भवेत || ३८ ||

","meṇḍhrādupari vinyasya savyaṃ ghulphaṃ tathopari |
ghulphāntaraṃ cha nikṣhipya siddhāsanamidaṃ bhavet || 38 ||","This Siddhâsana is performed also by placing the left heel on Meḍhra (above the male organ), and then placing the right one on it.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
8,39,Haṭha Yoga Pradīpikā,"एतत्सिद्धासनं पराहुरन्ये वज्रासनं विदुः |
मुक्तासनं वदन्त्येके पराहुर्गुप्तासनं परे || ३९ ||

","etatsiddhāsanaṃ prāhuranye vajrāsanaṃ viduḥ |
muktāsanaṃ vadantyeke prāhurghuptāsanaṃ pare || 39 ||","Some call this Siddhâsana, some Vajrâsana. Others call it Mukta Âsana or Gupta Âsana.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
8,40,Haṭha Yoga Pradīpikā,"यमेष्ह्विव मिताहारमहिंसा नियमेष्ह्विव |
मुख्यं सर्वासनेष्ह्वेकं सिद्धाः सिद्धासनं विदुः || ४० ||","yameṣhviva mitāhāramahiṃsā niyameṣhviva |
mukhyaṃ sarvāsaneṣhvekaṃ siddhāḥ siddhāsanaṃ viduḥ || 40 ||

","Just as sparing food is among Yamas, and Ahiṃsâ among the Niyamas, so is Siddhâsana called by adepts the chief of all the âsanas.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
8,41,Haṭha Yoga Pradīpikā,"छतुरशीति पीठेष्हु सिद्धमेव सदाभ्यसेत |
दवासप्तति सहस्राणां नाडीनां मल शोधनम || ४१ ||","chaturaśīti pīṭheṣhu siddhameva sadābhyaset |
dvāsaptati sahasrāṇāṃ nāḍīnāṃ mala śodhanam || 41 ||","Out of the 84 Âsanas Siddhâsana should always be practised, because it cleanses the impurities of 72,000 nâḍîs.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
8,42,Haṭha Yoga Pradīpikā,"आत्म धयायी मिताहारी यावद्द्वादश वत्सरम |
सदा सिद्धासनाभ्यासाद्योगी निष्ह्पत्तिमाप्नुयात || ४२ ||","ātma dhyāyī mitāhārī yāvaddvādaśa vatsaram |
sadā siddhāsanābhyāsādyoghī niṣhpattimāpnuyāt || 42 ||","By contemplating on oneself, by eating sparingly, and by practising Siddhâsana for 12 years, the Yogî obtains success.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
8,43,Haṭha Yoga Pradīpikā,"किमन्यैर्बहुभिः पीठैः सिद्धे सिद्धासने सति |
पराणानिले सावधाने बद्धे केवल कुम्भके |
उत्पद्यते निरायासात्स्वयमेवोन्मनी कला || ४३ ||","kimanyairbahubhiḥ pīṭhaiḥ siddhe siddhāsane sati |
prāṇānile sāvadhāne baddhe kevala kumbhake |
utpadyate nirāyāsātsvayamevonmanī kalā || 43 ||","Other postures are of no use, when success has been achieved in Siddhâsana, and Prâṇa Vâyû becomes calm and restrained by Kevala Kumbhaka.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
8,44,Haṭha Yoga Pradīpikā,"तथैकास्मिन्नेव दॄढे सिद्धे सिद्धासने सति |
बन्ध तरयमनायासात्स्वयमेवोपजायते || ४४ ||","tathaikāsminneva dṝḍhe siddhe siddhāsane sati |
bandha trayamanāyāsātsvayamevopajāyate || 44 ||

","Success in one Siddhâsana alone becoming firmly established, one gets Unmanî at once, and the three bonds (Bandhas) are accomplished of themselves.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
8,45,Haṭha Yoga Pradīpikā,"नासनं सिद्ध सदॄशं न कुम्भः केवलोपमः |
न खेछरी समा मुद्रा न नाद सदॄशो लयः || ४५ ||","nāsanaṃ siddha sadṝśaṃ na kumbhaḥ kevalopamaḥ |
na khecharī samā mudrā na nāda sadṝśo layaḥ || 45 ||",There is no Âsana like the Siddhâsana and no Kumbhaka like the Kevala. There is no mudrâ like the Khechari and no laya like the Nâda (Anâhata Nâda.),,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
9,46,Haṭha Yoga Pradīpikā,"अथ पद्मासनम
वामोरूपरि दक्ष्हिणं छ छरणं संस्थाप्य वामं तथा
दक्ष्होरूपरि पश्छिमेन विधिना धॄत्वा कराभ्यां दॄढम |
अङ्गुष्ह्ठौ हॄदये निधाय छिबुकं नासाग्रमालोकयेत
एतद्व्याधि विनाश कारि यमिनां पद्मासनं परोछ्यते || ४६ ||","atha padmāsanam
vāmorūpari dakṣhiṇaṃ cha charaṇaṃ saṃsthāpya vāmaṃ tathā
dakṣhorūpari paśchimena vidhinā dhṝtvā karābhyāṃ dṝḍham |
angghuṣhṭhau hṝdaye nidhāya chibukaṃ nāsāghramālokayet
etadvyādhi vināśa kāri yamināṃ padmāsanaṃ prochyate || 46 ||","Place the right foot on the left thigh and the left foot on the right thigh, and grasp the toes with the hands crossed over the back. Press the chin against the chest and gaze on the tip of the nose. This is called the Padmâsana, the destroyer of the diseases of the Yamîs.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
9,47,Haṭha Yoga Pradīpikā,"उत्तानौ छरणौ कॄत्वा ऊरु संस्थौ परयत्नतः |
ऊरु मध्ये तथोत्तानौ पाणी कॄत्वा ततो दॄशौ || ४७ ||","uttānau charaṇau kṝtvā ūru saṃsthau prayatnataḥ |
ūru madhye tathottānau pāṇī kṝtvā tato dṝśau || 47 ||","Place the feet on the thighs, with the soles upwards, and place the hands on the thighs, with the palms upwards.

",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
9,48,Haṭha Yoga Pradīpikā,"नासाग्रे विन्यसेद्राजद अन्त मूले तु जिह्वया |
उत्तम्भ्य छिबुकं वक्ष्हस्युत्थाप्य पवनं शनैः || ४८ ||","nāsāghre vinyasedrājad anta mūle tu jihvayā |
uttambhya chibukaṃ vakṣhasyutthāpy pavanaṃ śanaiḥ || 48 ||","Gaze on the tip of the nose, keeping the tongue pressed against the root of the teeth of the upper jaw, and the chin against the chest, and raise the air up slowly, i.e., pull the apâna vâyû gently upwards.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
9,49,Haṭha Yoga Pradīpikā,"इदं पद्मासनं परोक्तं सर्व वयाधि विनाशनम |
दुर्लभं येन केनापि धीमता लभ्यते भुवि || ४९ ||","idaṃ padmāsanaṃ proktaṃ sarva vyādhi vināśanam |
durlabhaṃ yena kenāpi dhīmatā labhyate bhuvi || 49 ||","This is called the Padmâsana, the destroyer of all diseases. It is difficult of attainment by everybody, but can be learnt by intelligent people in this world.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
9,50,Haṭha Yoga Pradīpikā,"कॄत्वा सम्पुटितौ करौ दॄढतरं बद्ध्वा तु पद्ममासनं
गाढं वक्ष्हसि सन्निधाय छिबुकं धयायंश्छ तछ्छेतसि |
वारं वारमपानमूर्ध्वमनिलं परोत्सारयन्पूरितं
नयञ्छन्प्राणमुपैति बोधमतुलं शक्ति परभावान्नरः || ५० ||","kṝtvā sampuṭitau karau dṝḍhataraṃ baddhvā tu padmamāsanaṃ
ghāḍhaṃ vakṣhasi sannidhāya chibukaṃ dhyāyaṃścha tachchetasi |
vāraṃ vāramapānamūrdhvamanilaṃ protsārayanpūritaṃ
nyañchanprāṇamupaiti bodhamatulaṃ śakti prabhāvānnaraḥ || 50 ||","Having kept both the hands together in the lap, performing the Padmâsana firmly, keeping the chin Fixed to the chest and contemplating on Him in the mind, by drawing the apâna vâyû up (performing Mûla Bandha) and pushing down the air after inhaling it, joining thus the prâṇa and apâna in the navel, one gets the highest intelligence by awakening the śakti (kundalinî) thus.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
9,51,Haṭha Yoga Pradīpikā,"पद्मासने सथितो योगी नाडी दवारेण पूरितम |
मारुतं धारयेद्यस्तु स मुक्तो नात्र संशयः || ५१ ||","padmāsane sthito yoghī nāḍī dvāreṇa pūritam |
mārutaṃ dhārayedyastu sa mukto nātra saṃśayaḥ || 51 ||

","The Yogî who, sitting with Padmâsana, can control breathing, there is no doubt, is free from bondage.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
10,52,Haṭha Yoga Pradīpikā,"अथ सिंहासनम
गुल्फौ छ वॄष्हणस्याधः सीवन्त्याः पार्श्वयोः कष्हिपेत |
दक्ष्हिणे सव्य गुल्फं तु दक्ष्ह गुल्फं तु सव्यके || ५२ ||","atha siṃhāsanam
ghulphau cha vṝṣhaṇasyādhaḥ sīvantyāḥ pārśvayoḥ kṣhipet |
dakṣhiṇe savya ghulphaṃ tu dakṣha ghulphaṃ tu savyake || 52 ||","Press the heels on both sides of the seam of Perineum, in such a way that the left heel touches the right side and the right heel touches the left side of it.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
10,53,Haṭha Yoga Pradīpikā,"हस्तौ तु जान्वोः संस्थाप्य सवाङ्गुलीः सम्प्रसार्य छ |
वयात्त वक्तो निरीक्ष्हेत नासाग्रं सुसमाहितः || ५३ ||

","hastau tu jānvoḥ saṃsthāpya svāngghulīḥ samprasārya cha |
vyātta vakto nirīkṣheta nāsāghraṃ susamāhitaḥ || 53 ||

","Place the hands on the thighs, with stretched fingers, and keeping the mouth open and the mind collected, gaze on the tip of the nose.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
10,54,Haṭha Yoga Pradīpikā,"सिंहासनं भवेदेतत्पूजितं योगि पुणगवैः |
बन्ध तरितय सन्धानं कुरुते छासनोत्तमम || ५४ ||","siṃhāsanaṃ bhavedetatpūjitaṃ yoghi pungghavaiḥ |
bandha tritaya sandhānaṃ kurute chāsanottamam || 54 ||","This is Siṃhâsana, held sacred by the best of Yogîs. This excellent Âsana effects the completion of the three Bandhas (The Mûlabandha, Kanṭha or Jâlandhar Bandha and Uḍḍiyâna Bandha).",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
10,55,Haṭha Yoga Pradīpikā,"अथ भद्रासनम
गुल्फौ छ वॄष्हणस्याधः सीवन्त्याः पार्श्वयोः कष्हिप्ते |
सव्य गुल्फं तथा सव्ये दक्ष्ह गुल्फं तु दक्ष्हिणे || ५५ ||","atha bhadrāsanam
ghulphau cha vṝṣhaṇasyādhaḥ sīvantyāḥ pārśvayoḥ kṣhipte |
savya ghulphaṃ tathā savye dakṣha ghulphaṃ tu dakṣhiṇe || 55 ||","Place the heels on either side of the seam of the Perineum, keeping the left heel on the left side and the right one on the right side, ",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
10,56,Haṭha Yoga Pradīpikā,"पार्श्व पादौ छ पाणिभ्यां दॄढं बद्ध्वा सुनिश्छलम |
भद्रासनं भवेदेतत्सर्व वयाधि विनाशनम |
गोरक्ष्हासनमित्याहुरिदं वै सिद्ध योगिनः || ५६ ||","pārśva pādau cha pāṇibhyāṃ dṝḍhaṃ baddhvā suniśchalam |
bhadrāsanaṃ bhavedetatsarva vyādhi vināśanam |
ghorakṣhāsanamityāhuridaṃ vai siddha yoghinaḥ || 56 ||

",hold the feet firmly joined to one another with both the hands. This Bhadrâsana is the destroyer of all the diseases.,,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
10,57,Haṭha Yoga Pradīpikā,"एवमासन बन्धेष्हु योगीन्द्रो विगत शरमः |
अभ्यसेन्नाडिका शुद्धिं मुद्रादि पवनी करियाम || ५७ ||","evamāsana bandheṣhu yoghīndro vighata śramaḥ |
abhyasennāḍikā śuddhiṃ mudrādi pavanī kriyām || 57 ||","The expert Yogîs call this Gorakśa âsana. By sitting with this âsana, the Yogî gets rid of fatigue",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
10,58,Haṭha Yoga Pradīpikā,"आसनं कुम्भकं छित्रं मुद्राख्यं करणं तथा |
अथ नादानुसन्धानमभ्यासानुक्रमो हठे || ५८ ||

","āsanaṃ kumbhakaṃ chitraṃ mudrākhyaṃ karaṇaṃ tathā |
atha nādānusandhānamabhyāsānukramo haṭhe || 58 ||","The Nâdis should be cleansed of their impurities by performing the mudrâs, etc., (which are the practices relating to the air) Âsanas, Kumbhakas and various curious mûdrâs.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
11,59,Haṭha Yoga Pradīpikā,"बरह्मछारी मिताहारी तयागी योग परायणः |
अब्दादूर्ध्वं भवेद्सिद्धो नात्र कार्या विछारणा || ५९ ||","brahmachārī mitāhārī tyāghī yogha parāyaṇaḥ |
abdādūrdhvaṃ bhavedsiddho nātra kāryā vichāraṇā || 59 ||","By regular and close attention to Nâda (anâhata nâda) in Haṭha Yoga, a Brahmachari, sparing in diet, unattached to objects of enjoyment, and devoted to Yoga, gains success, no doubt, within a year.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
11,60,Haṭha Yoga Pradīpikā,"सुस्निग्ध मधुराहारश्छतुर्थांश विवर्जितः |
भुज्यते शिव सम्प्रीत्यै मिताहारः स उछ्यते ||","susnigdha madhurāhāraśchaturthāṃśa vivarjitaḥ |
bhujyate śiva samprītyai mitāhāraḥ sa uchyate ||","Abstemious feeding is that in which ¾ of hunger is satisfied with food, well cooked with ghee and sweets, and eaten with the offering of it to Śiva.",What is the specific definition of Mitahara or Moderate Diet?,"
मिताहारा या संतुलित आहार की विशिष्ट परिभाषा क्या है?","Mitahara is defined as eating food that is sweet and unctuous, that is, lubricating or oily. One should fill half the stomach with food, one quarter with water, and leave the remaining fourth quarter empty for the movement of air and to please the deity.","मिताहारा का अर्थ है मीठा और चिकना भोजन करना, यानी तैलीय या चिकनाई युक्त भोजन। व्यक्ति को आधा पेट भोजन से, एक चौथाई पानी से भरना चाहिए और शेष एक चौथाई हवा के आवागमन के लिए और देवता को प्रसन्न करने के लिए खाली छोड़ देना चाहिए।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
11,61,Haṭha Yoga Pradīpikā,"कट्वाम्ल तीक्ष्ह्ण लवणोष्ह्ण हरीत शाक 
सौवीर तैल तिल सर्ष्हप मद्य मत्स्यान |
आजादि मांस दधि तक्र कुलत्थकोल 
पिण्याक हिङ्गु लशुनाद्यमपथ्यमाहुः ||","kaṭvāmla tīkṣhṇa lavaṇoṣhṇa harīta śāka 
sauvīra taila tila sarṣhapa madya matsyāna |
ājādi māṃsa dadhi takra kulatthakola 
piṇyāka hiṅgu laśunādyamapathyamāhuḥ ||","Bitter, sour, saltish, hot, green vegetables, fermented, oily, mixed with til seed, rape seed, intoxicating liquors, fish, meat, curds, chhaasa pulses, plums, oil cake, asafœtida (hînga), garlic, onion, etc., should not be eaten.",Which foods should be avoided for good health?,अच्छे स्वास्थ्य के लिए किन खाद्य पदार्थों से परहेज करना चाहिए?,"Foods that should be avoided for good health includes things that are extremely spicy, sour, salty, or oily. It is also best to avoid alcohol, sour gruel, heavy meats, garlic, and onions, as these can make the body feel restless and increase internal heat.","अच्छे स्वास्थ्य के लिए जिन खाद्य पदार्थों से परहेज करना चाहिए उनमें अत्यधिक मसालेदार, खट्टे, नमकीन या तैलीय पदार्थ शामिल हैं। इसके अलावा, शराब, खट्टी दलिया, भारी मांस, लहसुन और प्याज से भी परहेज करना चाहिए, क्योंकि ये शरीर में बेचैनी पैदा कर सकते हैं और आंतरिक गर्मी बढ़ा सकते हैं।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
